Date	Title	URL
27-Jan-2015	RailsConf 2014 Accepted Talk #1: All the Little Things	http://railsconf.com/railsconf-sample-proposal-1-metz.pdf
27-Jan-2015	RailsConf 2014 - All the Little Things by Sandi Metz	https://www.youtube.com/watch?v=8bZh5LMaSmE
27-Jan-2015	RailsConf 2014 Accepted Talk #2: Software Development Lessons from the Apollo Program	http://railsconf.com/railsconf-sample-proposal-2-simioni.pdf
27-Jan-2015	RailsConf 2014 - Software Development Lessons from the Apollo Program by Julian Simioni	https://www.youtube.com/watch?v=hrsT9wmPVoo
27-Jan-2015	RailsConf 2014 Accepted Talk #3: Middleman: The missing front end of the Rails API stack	http://railsconf.com/railsconf-sample-proposal-3-gessler.pdf
27-Jan-2015	RailsConf 2014 - Middleman: the Missing View in the Rails API Stack	https://www.youtube.com/watch?v=-q_oUyEHiEw
27-Jan-2015	Office Hours for Aspiring Speakers	http://rmurphey.com/blog/2015/01/11/office-hours/
27-Jan-2015	5 things transcripts will do for your social media presence	http://www.dontgetcaught.biz/2015/01/5-things-transcripts-will-do-for-your.html
27-Jan-2015	On Getting Paid to Speak	http://geekfeminism.org/2015/01/22/on-getting-paid-to-speak/
27-Jan-2015	Cascadia Ruby Conf 2012 Therapeutic Refactoring by Katrina Owen	https://www.youtube.com/watch?v=J4dlF0kcThQ
3-Feb-2015	The FOSDEM Conundrum	http://www.sarahmei.com/blog/2015/02/01/the-fosdem-conundrum/
3-Feb-2015	Famous Speech Friday: Maria Klawe on asking for salary increases	http://eloquentwoman.blogspot.de/2015/01/famous-speech-friday-maria-klawe-on.html
3-Feb-2015	On Intentionality and Conferences	http://www.melodyjk.com/on-intentionality-and-conferences/
3-Feb-2015	Turning Risk Into Opportunity	http://karencatlin.com/services/talks-panels/turning-risk-into-opportunity/
3-Feb-2015	OPENVIS CONF 2015 DIVERSITY SCHOLARSHIPS!	http://openvisconf.com/news/diversity-scholarship.html
3-Feb-2015	UIKonf Scholarships	http://www.uikonf.com/2015/01/22/uikonf-scholarships.html
3-Feb-2015	Saving Your Creative Soul (video from WDS 2014)	http://scottberkun.com/2014/saving-your-creative-soul-at-wds14/
10-Feb-2015	DiversityMediocrityIllusion	http://martinfowler.com/bliki/DiversityMediocrityIllusion.html
10-Feb-2015	Writing Conference Proposals	http://rmurphey.com/blog/2015/01/26/writing-conference-proposals/
10-Feb-2015	Why I Love Unconferences	http://www.lornajane.net/posts/2011/why-i-love-unconferences
10-Feb-2015	How to vastly improve your public speaking skills in 15 minutes	https://www.linkedin.com/pulse/how-vastly-improve-your-public-speaking-skills-15-minutes-jo-miller
10-Feb-2015	Mapzen's Code of Conduct Policy	https://mapzen.com/blog/mapzen-code-of-conduct
10-Feb-2015	What is your company culture? No, really, what is it?	http://devnotes.avdi.org/post/what-is-your-company-culture-no-really-what-is-it
10-Feb-2015	Rocky Mountan Ruby: Your Company is 'Awesome' (But is 'Company Culture' a lie?)	http://pwnela.com/conference/speaking/rmr2014/2014/09/25/rocky-mountain-ruby-2014.html
17-Feb-2015	My Proposal Was Rejected, Now What?	https://carouth.com/blog/2015/02/05/my-proposal-was-rejected/
17-Feb-2015	"""So you liked my talk? Now what?"" 8 ways to make the most of a speaking gig"	http://eloquentwoman.blogspot.de/2014/08/so-you-liked-my-talk-now-what-8-ways-to.html?spref=tw
17-Feb-2015	List of words having different meanings in American and British English: A–L	https://en.wikipedia.org/wiki/List_of_words_having_different_meanings_in_American_and_British_English:_A%E2%80%93L
17-Feb-2015	List of words having different meanings in American and British English: M–Z	https://en.wikipedia.org/wiki/List_of_words_having_different_meanings_in_American_and_British_English:_M%E2%80%93Z
17-Feb-2015	Talk development programme	https://2015.dareconf.com/talk-development
17-Feb-2015	Bullish Life: You Know What I Find Inspiring? Mediocrity.	http://www.thegloss.com/2013/07/24/career/bullish-life-inspiring-mediocrity-career/2/
17-Feb-2015	Apply for Diversity Tickets for .concat()	http://www.techtrrrs.at/news/concat15-diversitytickets/
17-Feb-2015	Hibernate should be to programmers what cake mixes are to bakers: beneath their dignity.	https://vimeo.com/28885655
17-Feb-2015	Why harder onboarding can lead to better users. And how Betty Crocker learned this years ago.	https://medium.com/on-startups/what-startups-can-learn-from-betty-crocker-709e83ddf638
24-Feb-2015	I Spoke About Feminism to a Buncha Dudes at a Tech Conf & it Was Actually Pretty Good	https://puppetlabs.com/blog/i-spoke-about-feminism-to-a-buncha-dudes-at-tech-conf
24-Feb-2015	The 5 Awkward Truths About Professional Speaking	http://www.forbes.com/sites/cherylsnappconner/2015/02/14/the-5-awkward-truths-about-professional-speaking/
24-Feb-2015	Technically Speaking webinar: Public Speaking Scares Me, Should I Do it Anyway	http://kwugirl.blogspot.de/2015/02/technically-speaking-webinar-public.html
24-Feb-2015	Why You Want a Code of Conduct & How We Made One	http://incisive.nu/2014/codes-of-conduct/
24-Feb-2015	3 Great Engineering Management Talks from 2014	https://gist.github.com/jewelia/0b8f26e91f2818bef460
24-Feb-2015	"""Benchmarking: You're Doing It Wrong"" by Aysylu Greenberg"	https://www.youtube.com/watch?v=XmImGiVuJno
3-Mar-2015	Write/Speak/Code: Visibility and Leadership for Women Software Developers	http://www.writespeakcode.com/
3-Mar-2015	2015 International Conference for Women Software Developers	http://www.writespeakcode.com/conference/schedule/
3-Mar-2015	Scholarships to Write/Speak/Code	http://www.writespeakcode.com/conference/scholarships/
3-Mar-2015	SPEAKER MENTORS AT DJANGOCON EUROPE	http://2015.djangocon.eu/proposals/speaker-mentors/
3-Mar-2015	BSDCan proposals and rejections	http://blather.michaelwlucas.com/archives/2325
3-Mar-2015	Why VidCon Doesn’t Pay Guests	http://edwardspoonhands.com/post/96675478270/why-vidcon-doesnt-pay-guests
3-Mar-2015	Become a Presenter, Change Your Life	http://www.brentozar.com/archive/2012/08/become-presenter-change-your-life/
3-Mar-2015	Ruth Chang: How to make hard choices	https://www.youtube.com/watch?v=8GQZuzIdeQQ
10-Mar-2015	Public Speaking for the Terrified	http://red-badger.com/blog/2015/03/06/public-speaking-for-the-terrified/
10-Mar-2015	We need to talk about TED	http://www.theguardian.com/commentisfree/2013/dec/30/we-need-to-talk-about-ted
10-Mar-2015	Funny in 33 languages: The art of translating Maysoon Zayid’s hilarious TED Talk	http://blog.ted.com/funny-in-33-languages-the-art-of-translating-maysoon-zayids-hilarious-ted-talk/
10-Mar-2015	Conference Talk Criteria	http://sfsmith.com/2015/03/03/conference-talk-criteria/
10-Mar-2015	What the Heck is a Hackathon?	http://blog.sqisland.com/2015/03/what-heck-is-hackathon.html
10-Mar-2015	Coding Like a Girl	https://medium.com/@sailorhg/coding-like-a-girl-595b90791cce
17-Mar-2015	THE WOMAN SPEAKER SLOT	http://www.catehuston.com/blog/2015/03/11/the-woman-speaker-slot/
17-Mar-2015	Binders full of Women	http://www.standardista.com/women-in-tech/
17-Mar-2015	Women Techmakers by GDG Boulder	http://blog.sqisland.com/2015/03/women-techmakers-by-gdg-boulder.html
17-Mar-2015	Are Blind CFPs Really The Answer?	http://trishagee.github.io/post/blind_cfps/
17-Mar-2015	How much it cost us to make more attendees feel safe and welcome at .concat() 2015	https://medium.com/@boennemann/how-much-it-cost-us-to-make-more-attendees-feel-safe-and-welcome-at-concat-2015-2bc51d4df656
